model,preset,thr,f1,precision,recall,coverage,queries
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0.6500000000000001,0.2608695652173913,0.15789473684210525,0.75,0.4418604651162791,86
sentence-transformers/all-mpnet-base-v2,B_hybrid_light,1.0,0.31746031746031744,0.20408163265306123,0.7142857142857143,0.5697674418604651,86
sentence-transformers/all-mpnet-base-v2,C_lex_sem_strong,-1.0,0.3461538461538462,0.20930232558139536,1.0,1.0,86
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0.9000000000000001,0.35555555555555557,0.2191780821917808,0.9411764705882353,0.8488372093023255,86
sentence-transformers/all-mpnet-base-v2,E_diversity,0.9500000000000002,0.3055555555555555,0.1896551724137931,0.7857142857142857,0.6744186046511628,86
sentence-transformers/all-mpnet-base-v2,F_recall_first,0.9500000000000002,0.45161290322580644,0.4117647058823529,0.5,0.19767441860465115,86
sentence-transformers/all-mpnet-base-v2,G_mnn_heavy,0.8500000000000001,0.2857142857142857,0.16666666666666666,1.0,0.9767441860465116,86
sentence-transformers/all-mpnet-base-v2,H_zfilter,1.0,0.3018867924528302,0.20512820512820512,0.5714285714285714,0.45348837209302323,86
sentence-transformers/all-mpnet-base-v2,I_short_skills_bias,0.9500000000000002,0.34883720930232553,0.21739130434782608,0.8823529411764706,0.8023255813953488,86
sentence-transformers/all-mpnet-base-v2,J_char_heavy,-1.0,0.36190476190476195,0.22093023255813954,1.0,1.0,86
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,0.4500000000000002,0.23404255319148937,0.13253012048192772,1.0,0.9651162790697675,86
sentence-transformers/distiluse-base-multilingual-cased-v2,B_hybrid_light,0.9000000000000001,0.42696629213483145,0.2714285714285714,1.0,0.813953488372093,86
sentence-transformers/distiluse-base-multilingual-cased-v2,C_lex_sem_strong,1.0,0.34951456310679613,0.21176470588235294,1.0,0.9883720930232558,86
sentence-transformers/distiluse-base-multilingual-cased-v2,D_char_jaccard,0.9000000000000001,0.4285714285714286,0.28125,0.9,0.7441860465116279,86
sentence-transformers/distiluse-base-multilingual-cased-v2,E_diversity,0.8500000000000001,0.4042553191489362,0.25333333333333335,1.0,0.872093023255814,86
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,0.8,0.40579710144927544,0.28,0.7368421052631579,0.5813953488372093,86
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,0.9000000000000001,0.4,0.25,1.0,0.8837209302325582,86
sentence-transformers/distiluse-base-multilingual-cased-v2,H_zfilter,0.8500000000000001,0.4175824175824176,0.2638888888888889,1.0,0.8372093023255814,86
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0.9500000000000002,0.4470588235294118,0.296875,0.9047619047619048,0.7441860465116279,86
sentence-transformers/distiluse-base-multilingual-cased-v2,J_char_heavy,1.0,0.396039603960396,0.24691358024691357,1.0,0.9418604651162791,86
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,0.6500000000000001,0.3939393939393939,0.2549019607843137,0.8666666666666667,0.5930232558139535,86
sentence-transformers/paraphrase-MiniLM-L3-v2,B_hybrid_light,-1.0,0.3461538461538462,0.20930232558139536,1.0,1.0,86
sentence-transformers/paraphrase-MiniLM-L3-v2,C_lex_sem_strong,-1.0,0.36190476190476195,0.22093023255813954,1.0,1.0,86
sentence-transformers/paraphrase-MiniLM-L3-v2,D_char_jaccard,1.0,0.3614457831325301,0.23076923076923078,0.8333333333333334,0.7558139534883721,86
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,1.0,0.3614457831325301,0.23076923076923078,0.8333333333333334,0.7558139534883721,86
sentence-transformers/paraphrase-MiniLM-L3-v2,F_recall_first,0.9500000000000002,0.44000000000000006,0.3548387096774194,0.5789473684210527,0.36046511627906974,86
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,-1.0,0.3461538461538462,0.20930232558139536,1.0,1.0,86
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,1.0,0.35443037974683544,0.22950819672131148,0.7777777777777778,0.7093023255813954,86
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,0.9000000000000001,0.35294117647058826,0.21428571428571427,1.0,0.9767441860465116,86
sentence-transformers/paraphrase-MiniLM-L3-v2,J_char_heavy,1.0,0.34951456310679613,0.21176470588235294,1.0,0.9883720930232558,86
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,0.7000000000000002,0.46511627906976755,0.3448275862068966,0.7142857142857143,0.3372093023255814,86
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,0.9500000000000002,0.36363636363636365,0.22535211267605634,0.9411764705882353,0.8255813953488372,86
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,-1.0,0.3300970873786408,0.19767441860465115,1.0,1.0,86
sentence-transformers/paraphrase-albert-small-v2,D_char_jaccard,1.0,0.41025641025641024,0.2711864406779661,0.8421052631578947,0.686046511627907,86
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0.9500000000000002,0.36363636363636365,0.22535211267605634,0.9411764705882353,0.8255813953488372,86
sentence-transformers/paraphrase-albert-small-v2,F_recall_first,1.0,0.5161290322580646,0.5,0.5333333333333333,0.18604651162790697,86
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,1.0,0.3636363636363636,0.2222222222222222,1.0,0.8372093023255814,86
sentence-transformers/paraphrase-albert-small-v2,H_zfilter,1.0,0.35616438356164387,0.23214285714285715,0.7647058823529411,0.6511627906976745,86
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,1.0,0.36781609195402293,0.22857142857142856,0.9411764705882353,0.813953488372093,86
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,-1.0,0.3300970873786408,0.19767441860465115,1.0,1.0,86
sentence-transformers/sentence-t5-base,A_semantic_only,0.9000000000000001,0.2352941176470588,0.13953488372093023,0.75,0.5,86
sentence-transformers/sentence-t5-base,B_hybrid_light,-1.0,0.28,0.16279069767441862,1.0,1.0,86
sentence-transformers/sentence-t5-base,C_lex_sem_strong,-1.0,0.3137254901960785,0.18604651162790697,1.0,1.0,86
sentence-transformers/sentence-t5-base,D_char_jaccard,-1.0,0.3137254901960785,0.18604651162790697,1.0,1.0,86
sentence-transformers/sentence-t5-base,E_diversity,-1.0,0.28,0.16279069767441862,1.0,1.0,86
sentence-transformers/sentence-t5-base,F_recall_first,-1.0,0.3137254901960785,0.18604651162790697,1.0,1.0,86
sentence-transformers/sentence-t5-base,G_mnn_heavy,-1.0,0.28,0.16279069767441862,1.0,1.0,86
sentence-transformers/sentence-t5-base,H_zfilter,-1.0,0.297029702970297,0.1744186046511628,1.0,1.0,86
sentence-transformers/sentence-t5-base,I_short_skills_bias,-1.0,0.28,0.16279069767441862,1.0,1.0,86
sentence-transformers/sentence-t5-base,J_char_heavy,-1.0,0.3137254901960785,0.18604651162790697,1.0,1.0,86
