dwa_original,dwa1,dwa2,dwa3
maintain regulatory or compliance documentation,review documents or materials for compliance with policies or regulations,coordinate safety or regulatory compliance activities,advise others on legal or regulatory compliance matters
monitor external affairs or events affecting business operations,monitor the productivity or efficiency of industrial operations,monitor organizational procedures to ensure proper functioning,monitor facilities or operational systems
implement design or process improvements,implement organizational process or policy changes,"recommend technical design or process changes to improve efficiency, quality, or performance",direct design or development activities
prepare operational reports,prepare operational progress or status reports,prepare operational budgets,prepare technical reports for internal use
supervise employees,supervise production or support personnel,supervise scientific or technical personnel,supervise engineering or other technical personnel
"direct sales, marketing, or customer service activities",perform marketing activities,"direct organizational operations, projects, or services",negotiate sales or lease agreements for products or services
"direct organizational operations, projects, or services","manage operations, research, or logistics projects",direct operational or production activities,"direct sales, marketing, or customer service activities"
approve expenditures,estimate costs of goods or services,prepare operational budgets,"assess the cost effectiveness of products, projects, or services"
prepare operational budgets,prepare operational reports,estimate operational costs,resolve operational performance problems
analyze data to inform operational decisions or activities,"analyze operational data to evaluate operations, processes or products",analyze data to inform personnel decisions,analyze data to assess operational or project effectiveness
monitor organizational procedures to ensure proper functioning,monitor operational procedures in technical environments to ensure conformance to standards,develop procedures to evaluate organizational activities,communicate organizational policies and procedures
confer with organizational members to accomplish work activities,monitor performance of organizational members or partners,confer with other personnel to resolve design or operational problems,develop procedures to evaluate organizational activities
evaluate employee performance,monitor performance of organizational members or partners,conduct employee training programs,develop procedures to evaluate organizational activities
conduct employee training programs,evaluate employee performance,supervise employees,administer compensation or benefits programs
hire personnel,recruit personnel,supervise production or support personnel,maintain personnel records
manage control system activities in organizations,manage inventories of products or organizational resources,manage human resources activities,monitor organizational procedures to ensure proper functioning
maintain personnel records,maintain operational records or records systems,hire personnel,analyze data to inform personnel decisions
prepare operational progress or status reports,prepare operational reports,prepare reports related to compliance matters,prepare operational budgets
evaluate quality of materials or products,test quality of materials or finished products,evaluate designs or specifications to ensure quality,"evaluate potential of products, technologies, or resources"
"develop operating strategies, plans, or procedures",develop organizational methods or procedures,develop business or market strategies,prepare detailed work plans
implement organizational process or policy changes,recommend organizational process or policy changes,implement design or process improvements,communicate organizational policies and procedures
develop organizational methods or procedures,develop procedures to evaluate organizational activities,"develop operating strategies, plans, or procedures",develop organizational goals or objectives
develop specifications for new products or processes,develop technical specifications for systems or equipment,develop new or advanced products or production methods,"establish standards for products, processes, or procedures"
direct facility maintenance or repair activities,direct equipment maintenance or repair activities,plan facility layouts or designs,inspect condition or functioning of facilities or equipment
recommend organizational process or policy changes,implement organizational process or policy changes,"recommend technical design or process changes to improve efficiency, quality, or performance",establish organizational guidelines or policies
maintain knowledge of current developments in area of expertise,update technical knowledge,"maintain inventories of materials, equipment, or products",collaborate on research activities with scientists or technical specialists
negotiate sales or lease agreements for products or services,"negotiate contracts for transportation, distribution, or logistics services",advise customers on the use of products or services,"direct sales, marketing, or customer service activities"
determine causes of operational problems or failures,resolve operational performance problems,"investigate system, equipment, or product failures",conduct quantitative failure analyses of operational data
monitor the productivity or efficiency of industrial operations,research industrial processes or operations,identify opportunities to improve operational efficiency,operate industrial equipment
conduct validation tests of equipment or processes,inspect condition or functioning of facilities or equipment,analyze test or validation data,"test performance of electrical, electronic, mechanical, or integrated systems or equipment"
determine operational methods,determine operational criteria or specifications,determine causes of operational problems or failures,inspect operational processes
direct industrial production activities,direct operational or production activities,operate industrial equipment,direct design or development activities
research industrial processes or operations,monitor the productivity or efficiency of industrial operations,"manage operations, research, or logistics projects",direct industrial production activities
design control systems for mechanical or other equipment,design electromechanical equipment or systems,design environmental control systems,design industrial equipment
review technical documents to plan work,prepare detailed work plans,review details of technical drawings or specifications,document technical design details
confer with other personnel to resolve design or operational problems,confer with technical personnel to prepare designs or operational plans,resolve operational performance problems,confer with organizational members to accomplish work activities
analyze design or requirements information for mechanical equipment or systems,develop technical specifications for systems or equipment,evaluate characteristics of equipment or systems,design control systems for mechanical or other equipment
direct installation activities,install production equipment or systems,direct design or development activities,direct operational or production activities
direct equipment maintenance or repair activities,direct facility maintenance or repair activities,repair electronic equipment,direct operational or production activities
"test performance of electrical, electronic, mechanical, or integrated systems or equipment",evaluate characteristics of equipment or systems,test characteristics of materials or structures,design electronic or computer equipment or instrumentation
coordinate safety or regulatory compliance activities,maintain regulatory or compliance documentation,analyze environmental regulations to ensure organizational compliance,advise others on legal or regulatory compliance matters
document technical design details,review details of technical drawings or specifications,document design or operational test results,review technical documents to plan work
identify new applications for existing technologies,evaluate new technologies or methods,research engineering applications of emerging technologies,develop software or computer applications
design electronic or computer equipment or instrumentation,design electromechanical equipment or systems,design industrial equipment,"test performance of electrical, electronic, mechanical, or integrated systems or equipment"
evaluate plans or specifications to determine technological or environmental implications,evaluate technical data to determine effect on designs or plans,evaluate environmental impact of operational or development activities,"evaluate potential of products, technologies, or resources"
advise others regarding green practices or environmental concerns,advise others on legal or regulatory compliance matters,develop operational methods or processes that use green materials or emphasize sustainability,identify opportunities for green initiatives
"select tools, equipment, or technologies for use in operations or projects","manage operations, research, or logistics projects",select project materials,analyze design or requirements information for mechanical equipment or systems
install production equipment or systems,assemble equipment or components,direct installation activities,operate computer systems
design industrial equipment,operate industrial equipment,design industrial processing systems,design electromechanical equipment or systems
"investigate system, equipment, or product failures",determine causes of operational problems or failures,inspect condition or functioning of facilities or equipment,investigate industrial or transportation accidents
prepare proposal documents,prepare procedural documents,prepare financial documents,write grant proposals
supervise production or support personnel,supervise employees,supervise scientific or technical personnel,supervise engineering or other technical personnel
perform marketing activities,"direct sales, marketing, or customer service activities",develop business or market strategies,perform human resources activities
advise others on logistics topics,analyze logistics processes,advise customers on technical or procedural issues,"manage operations, research, or logistics projects"
identify opportunities to improve operational efficiency,resolve operational performance problems,monitor the productivity or efficiency of industrial operations,"recommend technical design or process changes to improve efficiency, quality, or performance"
"analyze jobs using observation, survey, or interview techniques","interview employees, customers, or others to collect information",analyze data to inform operational decisions or activities,analyze data to inform personnel decisions
plan facility layouts or designs,design structures or facilities,confer with technical personnel to prepare designs or operational plans,direct facility maintenance or repair activities
develop technical specifications for systems or equipment,develop specifications for new products or processes,analyze design or requirements information for mechanical equipment or systems,develop technical methods or processes
analyze logistics processes,advise others on logistics topics,inspect operational processes,evaluate logistics methods to reduce environmental impact
maintain data in information systems or databases,maintain operational records or records systems,analyze data to inform personnel decisions,develop business or financial information systems
establish organizational guidelines or policies,communicate organizational policies and procedures,"establish standards for products, processes, or procedures",develop sustainable organizational policies or practices
estimate costs of goods or services,estimate operational costs,"assess the cost effectiveness of products, projects, or services",estimate cost or material requirements
"assess the cost effectiveness of products, projects, or services",estimate costs of goods or services,analyze data to assess operational or project effectiveness,analyze costs and benefits of proposed designs or projects
apply mathematical models of financial or business conditions,develop business or financial information systems,create models of engineering designs or methods,develop business or market strategies
develop business or financial information systems,develop business or market strategies,prepare financial documents,develop software or computer applications
evaluate logistics methods to reduce environmental impact,implement transportation changes to reduce environmental impact,analyze logistics processes,evaluate environmental impact of operational or development activities
develop business or market strategies,develop sustainable business strategies or practices,"develop operating strategies, plans, or procedures",perform marketing activities
develop sustainable business strategies or practices,develop sustainable organizational policies or practices,develop business or market strategies,develop operational methods or processes that use green materials or emphasize sustainability
prepare financial documents,prepare proposal documents,develop business or financial information systems,prepare procedural documents
analyze environmental regulations to ensure organizational compliance,review documents or materials for compliance with policies or regulations,conduct environmental audits,coordinate safety or regulatory compliance activities
create graphical representations of industrial production systems,create graphical representations of mechanical equipment,direct industrial production activities,design industrial processing systems
estimate technical or resource requirements for development or production projects,estimate time requirements for development or production projects,estimate cost or material requirements,estimate labor requirements
assess product or process usefulness,"assess the cost effectiveness of products, projects, or services","investigate system, equipment, or product failures","evaluate potential of products, technologies, or resources"
resolve operational performance problems,identify opportunities to improve operational efficiency,determine causes of operational problems or failures,determine operational criteria or specifications
"purchase materials, equipment, or other resources","maintain inventories of materials, equipment, or products","evaluate potential of products, technologies, or resources",estimate cost or material requirements
evaluate designs or specifications to ensure quality,determine design criteria or specifications,evaluate quality of materials or products,evaluate technical data to determine effect on designs or plans
provide technical guidance to other personnel,supervise engineering or other technical personnel,confer with technical personnel to prepare designs or operational plans,develop technical specifications for systems or equipment
analyze costs and benefits of proposed designs or projects,"assess the cost effectiveness of products, projects, or services",evaluate technical data to determine effect on designs or plans,investigate the environmental impact of projects
investigate the environmental impact of projects,evaluate environmental impact of operational or development activities,monitor environmental impacts of production or development activities,analyze costs and benefits of proposed designs or projects
estimate labor requirements,estimate cost or material requirements,negotiate labor disputes,estimate time requirements for development or production projects
perform human resources activities,manage human resources activities,perform marketing activities,research human performance or health factors related to engineering or design activities
administer standardized physical or psychological tests,conduct validation tests of equipment or processes,instruct college students in physical or life sciences,monitor organizational procedures to ensure proper functioning
manage human resources activities,perform human resources activities,manage inventories of products or organizational resources,manage control system activities in organizations
coordinate special events or programs,program robotic equipment,coordinate with external parties to exchange information,coordinate safety or regulatory compliance activities
advise others on career or personal development,advise others on logistics topics,develop software or computer applications,supervise engineering or other technical personnel
administer compensation or benefits programs,conduct employee training programs,liaise between departments or other groups to improve function or communication,hire personnel
"interview employees, customers, or others to collect information",communicate organizational information to customers or other stakeholders,"analyze jobs using observation, survey, or interview techniques",analyze data to inform personnel decisions
recruit personnel,hire personnel,maintain personnel records,supervise scientific or technical personnel
communicate organizational policies and procedures,establish organizational guidelines or policies,communicate organizational information to customers or other stakeholders,implement organizational process or policy changes
advise others on legal or regulatory compliance matters,maintain regulatory or compliance documentation,advise others regarding green practices or environmental concerns,coordinate safety or regulatory compliance activities
liaise between departments or other groups to improve function or communication,"coordinate activities with suppliers, contractors, clients, or other departments",confer with other personnel to resolve design or operational problems,communicate organizational information to customers or other stakeholders
compile operational data,"analyze operational data to evaluate operations, processes or products",prepare operational budgets,resolve operational performance problems
analyze data to inform personnel decisions,analyze data to inform operational decisions or activities,provide technical guidance to other personnel,"interview employees, customers, or others to collect information"
investigate industrial or transportation accidents,"investigate system, equipment, or product failures",research industrial processes or operations,direct industrial production activities
prepare reports related to compliance matters,prepare operational reports,maintain regulatory or compliance documentation,monitor processes for compliance with standards
represent the organization in external relations,coordinate with external parties to exchange information,"direct organizational operations, projects, or services",monitor external affairs or events affecting business operations
negotiate labor disputes,"negotiate contracts for transportation, distribution, or logistics services",estimate labor requirements,negotiate sales or lease agreements for products or services
document design or operational test results,interpret design or operational test results,document organizational or operational procedures,document technical design details
create graphical representations of mechanical equipment,create graphical representations of industrial production systems,analyze design or requirements information for mechanical equipment or systems,design industrial equipment
research engineering applications of emerging technologies,research advanced engineering designs or applications,identify new applications for existing technologies,research engineering aspects of biological or chemical processes
design electromechanical equipment or systems,maintain electromechanical equipment,design control systems for mechanical or other equipment,design electronic or computer equipment or instrumentation
design environmental control systems,design control systems for mechanical or other equipment,research design or application of green technologies,monitor activities affecting environmental quality
calibrate scientific or technical equipment,design electronic or computer equipment or instrumentation,maintain laboratory or technical equipment,evaluate characteristics of equipment or systems
select project materials,"select tools, equipment, or technologies for use in operations or projects",evaluate quality of materials or products,manage scientific or technical project resources
create physical models or prototypes,create models of engineering designs or methods,create graphical representations of mechanical equipment,develop technical specifications for systems or equipment
program robotic equipment,assemble equipment or components,create graphical representations of mechanical equipment,operate computer systems
fabricate products or components using machine tools,fabricate devices or components,assemble mechanical components or machine parts,"maintain inventories of materials, equipment, or products"
inspect facilities or sites to determine if they meet specifications or standards,inspect condition or functioning of facilities or equipment,"establish standards for products, processes, or procedures",determine operational criteria or specifications
assemble equipment or components,assemble mechanical components or machine parts,fabricate devices or components,install production equipment or systems
maintain electromechanical equipment,design electromechanical equipment or systems,maintain test equipment,maintain laboratory or technical equipment
operate industrial equipment,design industrial equipment,operate laboratory or field equipment,research industrial processes or operations
repair electronic equipment,direct equipment maintenance or repair activities,design electronic or computer equipment or instrumentation,maintain electromechanical equipment
"maintain inventories of materials, equipment, or products",manage inventories of products or organizational resources,maintain laboratory or technical equipment,"purchase materials, equipment, or other resources"
determine operational criteria or specifications,determine design criteria or specifications,determine operational methods,monitor operational procedures in technical environments to ensure conformance to standards
research advanced engineering designs or applications,research engineering applications of emerging technologies,create models of engineering designs or methods,design research studies to obtain scientific information
"coordinate activities with suppliers, contractors, clients, or other departments","communicate technical information to suppliers, contractors, or regulatory agencies",liaise between departments or other groups to improve function or communication,"negotiate contracts for transportation, distribution, or logistics services"
conduct quantitative failure analyses of operational data,determine causes of operational problems or failures,analyze data to inform operational decisions or activities,monitor operational procedures in technical environments to ensure conformance to standards
determine design criteria or specifications,determine operational criteria or specifications,evaluate designs or specifications to ensure quality,analyze design or requirements information for mechanical equipment or systems
evaluate technical data to determine effect on designs or plans,evaluate plans or specifications to determine technological or environmental implications,confer with technical personnel to prepare designs or operational plans,evaluate designs or specifications to ensure quality
direct design or development activities,direct operational or production activities,analyze costs and benefits of proposed designs or projects,"direct organizational operations, projects, or services"
design energy-efficient vehicles or vehicle components,fabricate devices or components,design control systems for mechanical or other equipment,assemble mechanical components or machine parts
research design or application of green technologies,analyze green technology design requirements,research engineering applications of emerging technologies,develop operational methods or processes that use green materials or emphasize sustainability
monitor processes for compliance with standards,"establish standards for products, processes, or procedures",monitor operational procedures in technical environments to ensure conformance to standards,prepare reports related to compliance matters
test products for functionality or quality,test quality of materials or finished products,evaluate designs or specifications to ensure quality,assess product or process usefulness
inspect operational processes,"analyze operational data to evaluate operations, processes or products",inspect condition or functioning of facilities or equipment,monitor operational procedures in technical environments to ensure conformance to standards
monitor activities affecting environmental quality,monitor environmental impacts of production or development activities,direct quality control activities,conduct environmental audits
prepare drawings or diagrams of products or services,review details of technical drawings or specifications,advise customers on the use of products or services,create graphical representations of industrial production systems
"explain engineering drawings, specifications, or other technical information",review details of technical drawings or specifications,develop technical specifications for systems or equipment,analyze design or requirements information for mechanical equipment or systems
design structures or facilities,plan facility layouts or designs,monitor facilities or operational systems,direct design or development activities
direct quality control activities,direct equipment maintenance or repair activities,evaluate designs or specifications to ensure quality,monitor activities affecting environmental quality
research human performance or health factors related to engineering or design activities,research advanced engineering designs or applications,"recommend technical design or process changes to improve efficiency, quality, or performance",design research studies to obtain scientific information
analyze test or validation data,conduct validation tests of equipment or processes,analyze data to assess operational or project effectiveness,analyze biological samples
analyze green technology design requirements,research design or application of green technologies,analyze design or requirements information for mechanical equipment or systems,design environmental control systems
assist engineers or scientists with research,collaborate on research activities with scientists or technical specialists,supervise engineering or other technical personnel,research human performance or health factors related to engineering or design activities
assemble mechanical components or machine parts,assemble equipment or components,fabricate products or components using machine tools,create graphical representations of mechanical equipment
fabricate devices or components,fabricate products or components using machine tools,design medical devices or appliances,assemble equipment or components
collaborate with others to develop or refine designs,collaborate on research activities with scientists or technical specialists,analyze costs and benefits of proposed designs or projects,confer with technical personnel to prepare designs or operational plans
schedule operational activities,direct operational or production activities,analyze data to inform operational decisions or activities,prepare operational budgets
test characteristics of materials or structures,test quality of materials or finished products,"test performance of electrical, electronic, mechanical, or integrated systems or equipment",evaluate characteristics of equipment or systems
implement transportation changes to reduce environmental impact,evaluate logistics methods to reduce environmental impact,investigate the environmental impact of projects,implement organizational process or policy changes
document organizational or operational procedures,document design or operational test results,communicate organizational policies and procedures,develop organizational methods or procedures
"negotiate contracts for transportation, distribution, or logistics services",negotiate sales or lease agreements for products or services,advise others on logistics topics,negotiate labor disputes
coordinate with external parties to exchange information,represent the organization in external relations,coordinate special events or programs,"coordinate activities with suppliers, contractors, clients, or other departments"
develop procedures to evaluate organizational activities,develop organizational methods or procedures,monitor organizational procedures to ensure proper functioning,develop organizational goals or objectives
develop organizational goals or objectives,develop organizational methods or procedures,develop procedures to evaluate organizational activities,develop sustainable organizational policies or practices
analyze data to assess operational or project effectiveness,analyze data to inform operational decisions or activities,"assess the cost effectiveness of products, projects, or services","analyze operational data to evaluate operations, processes or products"
"manage operations, research, or logistics projects","direct organizational operations, projects, or services",research industrial processes or operations,manage scientific or technical project resources
evaluate environmental impact of operational or development activities,monitor environmental impacts of production or development activities,investigate the environmental impact of projects,evaluate logistics methods to reduce environmental impact
develop sustainable organizational policies or practices,develop sustainable business strategies or practices,establish organizational guidelines or policies,develop organizational goals or objectives
identify opportunities for green initiatives,research design or application of green technologies,advise others regarding green practices or environmental concerns,develop operational methods or processes that use green materials or emphasize sustainability
estimate cost or material requirements,estimate technical or resource requirements for development or production projects,estimate costs of goods or services,estimate labor requirements
manage inventories of products or organizational resources,"maintain inventories of materials, equipment, or products",manage human resources activities,manage scientific or technical project resources
monitor performance of organizational members or partners,monitor organizational procedures to ensure proper functioning,evaluate employee performance,confer with organizational members to accomplish work activities
"evaluate potential of products, technologies, or resources",evaluate new technologies or methods,assess product or process usefulness,evaluate plans or specifications to determine technological or environmental implications
analyze chemical compounds or substances,prepare compounds or solutions for products or testing,analyze biological samples,research microbiological or chemical processes or structures
develop new or advanced products or production methods,develop specifications for new products or processes,evaluate new technologies or methods,develop technical methods or processes
collaborate on research activities with scientists or technical specialists,assist engineers or scientists with research,collaborate with others to develop or refine designs,manage scientific or technical project resources
supervise scientific or technical personnel,supervise engineering or other technical personnel,supervise production or support personnel,prepare scientific or technical reports or presentations
"establish standards for products, processes, or procedures",monitor processes for compliance with standards,develop specifications for new products or processes,establish organizational guidelines or policies
prepare scientific or technical reports or presentations,prepare technical reports for internal use,manage scientific or technical project resources,prepare operational reports
research methods to improve food products,develop new or advanced products or production methods,develop biological research methods,test products for functionality or quality
prepare compounds or solutions for products or testing,analyze chemical compounds or substances,prepare biological samples for testing or analysis,test products for functionality or quality
maintain laboratory or technical equipment,operate laboratory or field equipment,maintain test equipment,"maintain inventories of materials, equipment, or products"
test quality of materials or finished products,evaluate quality of materials or products,test products for functionality or quality,test characteristics of materials or structures
monitor operational procedures in technical environments to ensure conformance to standards,monitor processes for compliance with standards,monitor organizational procedures to ensure proper functioning,prepare operational reports
manage scientific or technical project resources,"manage operations, research, or logistics projects",manage inventories of products or organizational resources,collaborate on research activities with scientists or technical specialists
inspect condition or functioning of facilities or equipment,monitor facilities or operational systems,inspect condition of natural environments,inspect facilities or sites to determine if they meet specifications or standards
review details of technical drawings or specifications,"explain engineering drawings, specifications, or other technical information",review technical documents to plan work,prepare drawings or diagrams of products or services
evaluate new technologies or methods,identify new applications for existing technologies,"evaluate potential of products, technologies, or resources",develop new or advanced products or production methods
review documents or materials for compliance with policies or regulations,maintain regulatory or compliance documentation,analyze environmental regulations to ensure organizational compliance,prepare reports related to compliance matters
monitor facilities or operational systems,inspect condition or functioning of facilities or equipment,monitor operational procedures in technical environments to ensure conformance to standards,maintain operational records or records systems
advise customers on technical or procedural issues,advise customers on the use of products or services,provide technical guidance to other personnel,advise others on logistics topics
communicate organizational information to customers or other stakeholders,communicate organizational policies and procedures,"communicate technical information to suppliers, contractors, or regulatory agencies","interview employees, customers, or others to collect information"
operate computer systems,operate industrial equipment,develop software or computer applications,design electronic or computer equipment or instrumentation
maintain test equipment,maintain laboratory or technical equipment,maintain electromechanical equipment,"test performance of electrical, electronic, mechanical, or integrated systems or equipment"
inspect finished products to locate flaws,test quality of materials or finished products,"investigate system, equipment, or product failures",develop specifications for new products or processes
collect samples of raw materials or finished products,test quality of materials or finished products,fabricate products or components using machine tools,inspect finished products to locate flaws
develop biological research methods,research engineering aspects of biological or chemical processes,develop organizational methods or procedures,analyze biological samples
research diseases or parasites,develop biological research methods,research microbiological or chemical processes or structures,research genetic characteristics or expression
research microbiological or chemical processes or structures,research engineering aspects of biological or chemical processes,develop biological research methods,analyze chemical compounds or substances
analyze biological samples,prepare biological samples for testing or analysis,analyze chemical compounds or substances,develop biological research methods
research genetic characteristics or expression,develop biological research methods,research human performance or health factors related to engineering or design activities,examine characteristics or behavior of living organisms
design research studies to obtain scientific information,research advanced engineering designs or applications,research design or application of green technologies,evaluate technical data to determine effect on designs or plans
instruct college students in physical or life sciences,administer standardized physical or psychological tests,assist engineers or scientists with research,create physical models or prototypes
set up laboratory or field equipment,operate laboratory or field equipment,maintain laboratory or technical equipment,install production equipment or systems
write grant proposals,prepare proposal documents,administer compensation or benefits programs,analyze costs and benefits of proposed designs or projects
"cultivate micro-organisms for study, testing, or medical preparations",prepare biological samples for testing or analysis,research microbiological or chemical processes or structures,design medical devices or appliances
prepare biological samples for testing or analysis,analyze biological samples,prepare compounds or solutions for products or testing,"cultivate micro-organisms for study, testing, or medical preparations"
monitor environmental impacts of production or development activities,evaluate environmental impact of operational or development activities,monitor activities affecting environmental quality,investigate the environmental impact of projects
inspect condition of natural environments,inspect condition or functioning of facilities or equipment,monitor activities affecting environmental quality,examine characteristics or behavior of living organisms
classify organisms based on their characteristics or behavior,examine characteristics or behavior of living organisms,research genetic characteristics or expression,create physical models or prototypes
examine characteristics or behavior of living organisms,classify organisms based on their characteristics or behavior,inspect condition of natural environments,research microbiological or chemical processes or structures
operate laboratory or field equipment,set up laboratory or field equipment,maintain laboratory or technical equipment,operate industrial equipment
interpret design or operational test results,document design or operational test results,determine operational criteria or specifications,analyze data to assess operational or project effectiveness
