dwa_title,automation_quartile
document technical design details,Bajo
establish organizational guidelines or policies,Alto
"establish standards for products, processes, or procedures",Bajo
estimate cost or material requirements,Alto
estimate costs of goods or services,Alto
estimate labor requirements,Alto
estimate operational costs,Bajo
estimate technical or resource requirements for development or production projects,Bajo
estimate time requirements for development or production projects,Alto
evaluate characteristics of equipment or systems,Alto
evaluate designs or specifications to ensure quality,Alto
evaluate employee performance,Bajo
evaluate environmental impact of operational or development activities,Alto
evaluate logistics methods to reduce environmental impact,Alto
evaluate new technologies or methods,Alto
evaluate plans or specifications to determine technological or environmental implications,Bajo
"evaluate potential of products, technologies, or resources",Alto
evaluate quality of materials or products,Alto
evaluate technical data to determine effect on designs or plans,Bajo
examine characteristics or behavior of living organisms,Alto
"explain engineering drawings, specifications, or other technical information",Bajo
fabricate devices or components,Bajo
fabricate products or components using machine tools,Alto
hire personnel,Bajo
identify new applications for existing technologies,Bajo
identify opportunities for green initiatives,Alto
identify opportunities to improve operational efficiency,Alto
implement design or process improvements,Bajo
implement organizational process or policy changes,Alto
implement transportation changes to reduce environmental impact,Alto
inspect condition of natural environments,Alto
inspect condition or functioning of facilities or equipment,Alto
inspect facilities or sites to determine if they meet specifications or standards,Alto
inspect finished products to locate flaws,Bajo
inspect operational processes,Bajo
install production equipment or systems,Alto
instruct college students in physical or life sciences,Alto
interpret design or operational test results,Alto
"interview employees, customers, or others to collect information",Bajo
investigate industrial or transportation accidents,Bajo
"investigate system, equipment, or product failures",Alto
investigate the environmental impact of projects,Alto
liaise between departments or other groups to improve function or communication,Bajo
maintain data in information systems or databases,Alto
maintain electromechanical equipment,Alto
"maintain inventories of materials, equipment, or products",Alto
maintain knowledge of current developments in area of expertise,Bajo
maintain laboratory or technical equipment,Bajo
maintain operational records or records systems,Alto
maintain personnel records,Bajo
maintain regulatory or compliance documentation,Bajo
maintain test equipment,Bajo
manage control system activities in organizations,Bajo
manage human resources activities,Bajo
manage inventories of products or organizational resources,Alto
"manage operations, research, or logistics projects",Alto
manage scientific or technical project resources,Bajo
monitor activities affecting environmental quality,Bajo
monitor environmental impacts of production or development activities,Alto
monitor external affairs or events affecting business operations,Alto
monitor facilities or operational systems,Alto
monitor operational procedures in technical environments to ensure conformance to standards,Bajo
monitor organizational procedures to ensure proper functioning,Bajo
monitor performance of organizational members or partners,Alto
monitor processes for compliance with standards,Bajo
monitor the productivity or efficiency of industrial operations,Alto
"negotiate contracts for transportation, distribution, or logistics services",Alto
negotiate labor disputes,Bajo
negotiate sales or lease agreements for products or services,Bajo
operate computer systems,Bajo
operate industrial equipment,Alto
operate laboratory or field equipment,Alto
perform human resources activities,Bajo
perform marketing activities,Bajo
plan facility layouts or designs,Alto
prepare biological samples for testing or analysis,Alto
prepare compounds or solutions for products or testing,Alto
"prepare contracts, disclosures, or applications",Bajo
prepare detailed work plans,Bajo
prepare drawings or diagrams of products or services,Bajo
prepare financial documents,Alto
prepare operational budgets,Bajo
prepare operational progress or status reports,Bajo
prepare operational reports,Alto
prepare procedural documents,Alto
prepare proposal documents,Bajo
prepare reports related to compliance matters,Bajo
prepare scientific or technical reports or presentations,Alto
prepare technical reports for internal use,Bajo
program robotic equipment,Alto
provide technical guidance to other personnel,Bajo
"purchase materials, equipment, or other resources",Alto
recommend organizational process or policy changes,Bajo
"recommend technical design or process changes to improve efficiency, quality, or performance",Bajo
recruit personnel,Bajo
repair electronic equipment,Alto
represent the organization in external relations,Bajo
research advanced engineering designs or applications,Alto
research design or application of green technologies,Bajo
research diseases or parasites,Alto
research engineering applications of emerging technologies,Bajo
research engineering aspects of biological or chemical processes,Alto
research genetic characteristics or expression,Alto
research human performance or health factors related to engineering or design activities,Bajo
research industrial processes or operations,Alto
research methods to improve food products,Alto
research microbiological or chemical processes or structures,Alto
resolve operational performance problems,Bajo
respond to emergencies to provide assistance,Bajo
review details of technical drawings or specifications,Alto
review documents or materials for compliance with policies or regulations,Alto
review technical documents to plan work,Bajo
schedule operational activities,Bajo
select project materials,Bajo
"select tools, equipment, or technologies for use in operations or projects",Bajo
set up laboratory or field equipment,Alto
supervise employees,Bajo
supervise engineering or other technical personnel,Bajo
supervise production or support personnel,Alto
supervise scientific or technical personnel,Alto
test characteristics of materials or structures,Bajo
"test performance of electrical, electronic, mechanical, or integrated systems or equipment",Alto
test products for functionality or quality,Bajo
test quality of materials or finished products,Bajo
train personnel on proper operational procedures,Alto
update technical knowledge,Bajo
write grant proposals,Alto
