dwa_title,degree_of_automation
"prepare contracts, disclosures, or applications",2.06
prepare detailed work plans,2.0166666666666666
prepare drawings or diagrams of products or services,2.19
prepare financial documents,2.45
prepare operational budgets,2.1166666666666667
prepare operational progress or status reports,2.135
prepare operational reports,2.421666666666667
prepare procedural documents,2.6366666666666667
prepare proposal documents,2.2
prepare reports related to compliance matters,2.08
prepare scientific or technical reports or presentations,2.36
prepare technical reports for internal use,2.105
program robotic equipment,3.04
provide technical guidance to other personnel,2.1950000000000003
"purchase materials, equipment, or other resources",2.375
recommend organizational process or policy changes,2.1166666666666667
"recommend technical design or process changes to improve efficiency, quality, or performance",2.1128571428571425
recruit personnel,2.08
repair electronic equipment,3.38
represent the organization in external relations,2.08
research advanced engineering designs or applications,2.47
research design or application of green technologies,2.24
research diseases or parasites,2.5300000000000002
research engineering applications of emerging technologies,1.83
research engineering aspects of biological or chemical processes,2.395
research genetic characteristics or expression,2.63
research human performance or health factors related to engineering or design activities,2.19
research industrial processes or operations,2.51
research methods to improve food products,2.325
research microbiological or chemical processes or structures,2.5300000000000002
resolve operational performance problems,2.225
respond to emergencies to provide assistance,2.02
review details of technical drawings or specifications,2.25
review documents or materials for compliance with policies or regulations,2.25
review technical documents to plan work,2.08
schedule operational activities,2.15
select project materials,2.01
"select tools, equipment, or technologies for use in operations or projects",2.015
set up laboratory or field equipment,2.63
supervise employees,2.2
supervise engineering or other technical personnel,2.1666666666666665
supervise production or support personnel,2.38
supervise scientific or technical personnel,2.36
test characteristics of materials or structures,2.15
"test performance of electrical, electronic, mechanical, or integrated systems or equipment",2.4166666666666665
test products for functionality or quality,2.17
test quality of materials or finished products,2.02
train personnel on proper operational procedures,2.3033333333333332
update technical knowledge,2.165
write grant proposals,2.63
